ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	Link
1	K2-3.6×6.1_SMD	BTN1,BTN2,BTN3,BTN4,BTN5,BTN6,BTN7,BTN8	4MM BUTTON FIXED	8						none
2	47uF	C1,C9	CAP-TH_BD4.0-P1.50-D0.8-FD	2	47uF 10V 4*5	ValuePro	LCSC	C43312	0.012	
3	33nF	C2,C8	C0603	2	CL10B333KB8NFNC	Samsung Electro-Mechanics	LCSC	C307488	0.012	
4	220pF	C3,C4,C5,C6	C0603	4	CL10B221KB8NNNC	SAMSUNG	LCSC	C1603	0.005	
5	10uF	C7	CAP-TH_BD4.0-P1.50-D0.8-FD	1	10uF 16V 3*5	ValuePro	LCSC	C43798	0.019	
6	100nF	C11,C13,C14,C16,C21	C0603	5	CL10B104KA8NNNC	SAMSUNG	LCSC	C1590	0.003	
7	10uF	C22,C23	C0805	2	CL21A106KPFNNNE	SAMSUNG	LCSC	C17024	0.005	
8	1uF	C24,C25	C0603	4	CL10A105KO8NNNC	SAMSUNG	LCSC	C1592	0.004	
9	TESTPAD43/80	CE,CS,CSN,MISO,MOSI,SCK,SCL,SDA,TFT_CS,TFT_DC,TFT_LED,TFT_MOSI,TFT_RESET,TFT_SCK	TESTPAD43/80	14						none
10	BAV99S	D1	SOT-363_L2.1-W1.3-P0.65-LS2.3-BL	1	BAV99S	CJ	LCSC	C68987	0.047	
11	BATTERY	J1	CONN-SMD_532610271	1	532610271	MOLEX	LCSC	C189700	0.107	
12	XF2M-4015-1A_C225713	J2	FPC-SMD_40P-P0.50_L4.9-W23.5	1	XF2M-4015-1A	Omron Electronics	LCSC	C225713	0.556	
13	TYPE-C-31-M-12	J3	USB-C_SMD-TYPE-C-31-M-12	1	TYPE-C-31-M-12	Rectangular Connectors - Contacts	LCSC	C165948	0.249	
14	F0504-H-05-10G-R	J4,J5	FFC-SMD_5P-P0.50_XFCN_F0504-H-05-10G-R	2	F0504-H-05-10G-R	XFCN(台湾兴飞)	LCSC	C2889992	0.142	
15	PJ-342C	J6	AUDIO-SMD_PJ-342C	1	PJ-342C	G-Switch(品赞)	LCSC	C2837091	0.153	
16	F0504-H-06-10G-R	J7	FFC-SMD_6P-P0.50_F0504-H-06-10G-R	1	F0504-H-06-10G-R	XFCN	LCSC	C510962	0.184	
17	100uH	L1,L2,L3,L4	L0805	4	MLF2012C101KT000	TDK	LCSC	C68035	0.044	
18	19-223/R6GHC-A01/2T(YY)	LED1	LED-ARRAY-SMD_4P-L1.6-W1.5-TR	1	19-223/R6GHC-A01/2T(YY)	Everlight Elec	LCSC	C182213	0.086	
19	SS8050	Q1	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	1	SS8050	CJ	LCSC	C2150	0.016	
20	1.8kΩ	R1,R6	R0603	2	ERJ3EKF1801V	PANASONIC	LCSC	C278609	0.01	
21	27kΩ	R2	R0603	1	RS-03K2702FT	Guangdong Fenghua Advanced Tech	LCSC	C304727	0.001	
22	10kΩ	R3,R17	R0603	4	0603WAF1002T5E	UniOhm	LCSC	C25804	0.001	
23	5.1kΩ	R4,R5	R0603	2	0603WAF5101T5E	UniOhm	LCSC	C23186	0.001	
24	270Ω	R7,R8	R0603	2	ERJ3GEYJ271V	PANASONIC	LCSC	C403465	0.007	
25	100mΩ	R9	R1206	1	1206W4F100LT5E	UniOhm	LCSC	C25334	0.009	
26	150Ω	R11,R12	R0603	2	ERJ3RBD1500V	PANASONIC	LCSC	C336847	0.021	
27	10Ω	R13,R14,R15,R16	R0603	4	0603WAF100JT5E	UniOhm	LCSC	C22859	0.001	
28	1kΩ	R22,R27,R28	R0603	3	ERJP03J102V	PANASONIC	LCSC	C427272	0.051	
29	1.5kΩ	R29	R0603	1	ERJ-3EKF1501V	PANASONIC	LCSC	C193392	0.009	
30	DOSIN-806-0134	RF1	SMA-SMD_DOSIN-806-0134	1	DOSIN-806-0134	dosinconn(德索五金)	LCSC	C709670	0.98	
31	-SPEAKER	SPK_L,SPK_R	FILTER-SMD_1206-2P-L3.2-W1.6-L	2	GSPK1003PN-8R0.2W-L100	INGHAi	LCSC	C530534	0.613	
32	1TS003B-1400-3500A	SW1,SW2,SW3	KEY-SMD_1TS003B	3	1TS003B-1400-3500A	HYP	LCSC	C319392	0.04	
33	MK-12C02-G015	SW4	SW-SMD_G-SWITCH_MK-12C02-G015	1	MK-12C02-G015	G-Switch(品赞)	LCSC	C2911519	0.114	
34	MCP3008T-I/SL	U1	SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL	1	MCP3008T-I/SL	MICROCHIP(美国微芯)	LCSC	C2651321	5.146	
35	PAM8403DR	U2	SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL	1	PAM8403DR	DIODES	LCSC	C17337	0.425	Available on green audio amplifier boards.
36	NC7WZ16P6X	U3	SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR	1	NC7WZ16P6X	ON Semicon	LCSC	C114148	0.772	
37	RASPBERRYPI-ZERO2W	U4	RPI2W_USB	1					15	
38	TP4056	U5	SOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP-1	1	TP4056X	TOPPOWER(南京拓微)	LCSC	C2763448	0.205	
39	GT-24 Mini	U6	GT24 MINI	1					1.83	
40	SPX3819M5-L-2-5	U7	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-TL	1	SPX3819M5-L-2-5	EXAR	LCSC	C21454	0.77	
41	M2x3x3 brass insert		M2x3x3	6						https://aliexpress.com/item/1005002529889373.html
42	M2x10		M2x10	6	KM2X10	Shuntian	LCSC	C357345	0.0018	
43	M1.4x4		M1.4x10	4	KA1.4X4	Shuntian	LCSC	C357505	0.0009	
44	Nintendo Switch Lite buttons pads		left and right	1		Nintendo			1.53	https://aliexpress.com/item/1005003071063706.html
45	Nintendo Switch Joystick			2		Nintendo			2.27	https://aliexpress.com/item/4001209760173.html
46	3.5inch IlI9488 screen with CTP			1	LHC03540	LiangHaoCai			14.85	https://aliexpress.com/item/4001248271603.html
47	1500mAh 3.7v LiPo 40x50x5mm				504050	Liter Energy			5.18	https://aliexpress.com/item/4000036287535.html
